# ------------------------------------------------------------------------------
# Table des supports de documents
#
# Correspond à la liste 150 de Onix for Books 
# avec en plus la liste  7S de Onix for Serials 
#
#
# 2013-11-02 Version initiale au format table, basée sur list 7 de Onix Books.
# 2014-03-31 Révision complète. 
#            Passage à la liste 150 de Onix Books (rev 24) 
#            + liste 7S de Onix Serials (rev 6)
#            Mise au format thesaurus 
# ------------------------------------------------------------------------------
code;label;USE;MT;BT;RT;description;SN;HN
VO;Blu-ray;;;VA;;DVD haute définition, format Blu-ray Sony.;;
VP;Vidéo UMD;;;VA;;Format UMD (Universal Media Disc) Sony.;;
VQ;CBHD;;;VA;;China Blue High-Definition, dérivé chinois de HD DVD;;
VZ;Autre format vidéo;;;VA;;Autre format vidéo non spécifié par les codes VB à VQ.;;
# ------------------------------------------------------------------------------
# W - ? Collections numériques
# ------------------------------------------------------------------------------
WA;Collection de livres numériques;;;;;Livres numériques en format standard propriétaire ou ouvert. ;;
WB;Collection mixte de livres et de périodiques en versions numériques;;;WA;;Un ensemble composé de livres numériques et de périodiques diffusés sur support électronique ou accessibles en ligne.;;
# ------------------------------------------------------------------------------
# X - Matériel destiné aux détaillants et aux revendeurs
# ------------------------------------------------------------------------------
XA;Matériel destiné aux détaillants;;;;;Matériel réservé aux détaillants (sans informations détaillées);;
XB;Gondole – vide;;;XA;;;;
XC;Gondole – garnie;;;XA;;Présentoir de sol avec contenu.;;
XD;Présentoir de comptoir – vide;;;XA;;;;
XE;Présentoir de comptoir – garni;;;XA;;Présentoir de comptoir avec contenu.;;
XF;Affiche promotionnelle;;;XA;PK;Affiche promotionnelle réservée à l’affichage, et non à la vente – voir aussi PK.;;
XG;Bandeau d’étagère;;;XA;;;;
XH;Elément de vitrine;;;XA;;Élément promotionnel pour affichage en vitrine.;;
XI;Banderole;;;XA;;;;
XJ;Tourniquet;;;XA;;;;
XK;Maquette géante;;;XA;;Fac-similé de livre agrandi pour présentation promotionnelle.;;
XL;Pack libraire;;;XA;;Pack quantité avec son propre code produit et vendu au détaillant uniquement : les articles qu’il contient sont destinés à la vente individuelle – voir aussi WX. Pour les produits ou les lots de produits emballés sous plastique en vue d’une vente au détail, utiliser le code <ProductForm> du contenu, plus le code 21 de la liste 80.;;
XZ;Autre matériel de point de vente;;;XA;;Autre matériel de point de vente non spécifié par les codes XB à XL.;;
# ------------------------------------------------------------------------------
# Z - Autres
# ------------------------------------------------------------------------------
ZA;Articles divers;;;;;Produits divers – sans informations détaillées.;;
ZB;Poupée;;;ZA;;;;
ZC;Peluche;;;ZA;;Jouet souple ou en peluche.;;
ZD;Jouet;;;ZA;;;;
ZE;Jeu;;;ZA;DE;Jeu de plateau ou autre (sauf jeu informatique : voir DE).;;
ZF;T-shirt;;;ZA;;;;
ZG;Lecteur de livre numérique;;;ZA;;Appareil dédié à la lecture de livre numérique, généralement équipé d’un écran noir et blanc.;;
ZH;Tablette numérique;;;ZA;;Tablette avec les fonctions génériques d’un ordinateur, généralement équipée d’un écran couleur.;;
ZZ;Autre produit;;;ZA;;Autre produit non spécifié par les codes ZB à ZF.;;
